Item Code,Item Name,Category Code,Category Name
102900005115168.00,Niushou Shengcai,1011010101.00,Flower/Leaf Vegetables
102900005115199.00,Sichuan Red Cedar,1011010101.00,Flower/Leaf Vegetables
102900005115625.00,Local Xiaomao Cabbage,1011010101.00,Flower/Leaf Vegetables
102900005115748.00,White Caitai,1011010101.00,Flower/Leaf Vegetables
102900005115762.00,Amaranth,1011010101.00,Flower/Leaf Vegetables
102900005115779.00,Yunnan Shengcai,1011010101.00,Flower/Leaf Vegetables
102900005115786.00,Zhuyecai,1011010101.00,Flower/Leaf Vegetables
102900005115793.00,Chinese Cabbage,1011010101.00,Flower/Leaf Vegetables
102900005115816.00,Nanguajian,1011010101.00,Flower/Leaf Vegetables
102900005115823.00,Shanghaiqing,1011010101.00,Flower/Leaf Vegetables
102900005115854.00,Radish Leaves,1011010101.00,Flower/Leaf Vegetables
102900005115861.00,Niushou Youcai,1011010101.00,Flower/Leaf Vegetables
102900005115878.00,Garden Chrysanthemum,1011010101.00,Flower/Leaf Vegetables
102900005115885.00,Caidian Quinoa Artemisia,1011010101.00,Flower/Leaf Vegetables
102900005115908.00,Caixin,1011010101.00,Flower/Leaf Vegetables
102900005115946.00,Muercai,1011010101.00,Flower/Leaf Vegetables
102900005115960.00,Chinese Cabbage,1011010101.00,Flower/Leaf Vegetables
102900005115977.00,Wandoujian,1011010101.00,Flower/Leaf Vegetables
102900005115984.00,Yunnan Lettuces,1011010101.00,Flower/Leaf Vegetables
102900005116639.00,Machixian,1011010101.00,Flower/Leaf Vegetables
102900005116776.00,Local Spinach,1011010101.00,Flower/Leaf Vegetables
102900005116790.00,Yellow Xincai (1),1011010101.00,Flower/Leaf Vegetables
102900005116806.00,Black Rapeseed,1011010101.00,Flower/Leaf Vegetables
102900005118572.00,Local Shanghaiqing,1011010101.00,Flower/Leaf Vegetables
102900005118817.00,Spinach,1011010101.00,Flower/Leaf Vegetables
102900005118831.00,Wawacai,1011010101.00,Flower/Leaf Vegetables
102900005119975.00,Hongshujian,1011010101.00,Flower/Leaf Vegetables
102900005122654.00,Zhijiang Red Bolt,1011010101.00,Flower/Leaf Vegetables
102900005128748.00,Huanghuacai,1011010101.00,Flower/Leaf Vegetables
102900011000175.00,Kuaicai,1011010101.00,Flower/Leaf Vegetables
102900011000571.00,Suizhou Bubble Green,1011010101.00,Flower/Leaf Vegetables
102900011002414.00,Panax Notoginseng,1011010101.00,Flower/Leaf Vegetables
102900011006689.00,Dongmenkou Xiaobaicai,1011010101.00,Flower/Leaf Vegetables
102900011006948.00,Foreign Garland Chrysanthemum ,1011010101.00,Flower/Leaf Vegetables
102900011006955.00,Ice Grass,1011010101.00,Flower/Leaf Vegetables
102900011007464.00,Perilla,1011010101.00,Flower/Leaf Vegetables
102900011007471.00,Mint,1011010101.00,Flower/Leaf Vegetables
102900011007495.00,The Dandelion,1011010101.00,Flower/Leaf Vegetables
102900011008133.00,Siguajian,1011010101.00,Flower/Leaf Vegetables
102900011008164.00,Naibaicai,1011010101.00,Flower/Leaf Vegetables
