Item Code,Item Name,Loss Rate (%)
102900005115168.00,Niushou Shengcai,4.39
102900005115199.00,Sichuan Red Cedar,10.46
102900005115250.00,Xixia Black Mushroom (1),10.8
102900005115625.00,Local Xiaomao Cabbage,0.18
102900005115748.00,White Caitai,8.78
102900005115762.00,Amaranth,18.52
102900005115779.00,Yunnan Shengcai,15.25
102900005115786.00,Zhuyecai,13.62
102900005115793.00,Chinese Cabbage,7.59
102900005115816.00,Nanguajian,13.46
102900005115823.00,Shanghaiqing,14.43
102900005115854.00,Radish Leaves,5.35
102900005115861.00,Niushou Youcai,12.17
102900005115878.00,Garden Chrysanthemum,6.27
102900005115885.00,Caidian Quinoa Artemisia,0.47
102900005115908.00,Caixin,13.7
102900005115946.00,Muercai,7.61
102900005115960.00,Chinese Cabbage,22.27
102900005115977.00,Wandoujian,8.36
102900005115984.00,Yunnan Lettuces,12.81
102900005116042.00,Lotus Root,15.32
102900005116219.00,Red Hot Peppers,6.73
102900005116226.00,Green Hot Peppers,6.72
102900005116233.00,Red Pepper (1),11.76
102900005116257.00,Eggplant (2),6.07
102900005116509.00,Green Eggplant (1),5.01
102900005116530.00,Xixia Mushroom (1),13.82
102900005116547.00,Needle Mushroom (1),3.43
102900005116639.00,Machixian,11.78
102900005116714.00,Broccoli,9.26
102900005116776.00,Local Spinach,10.46
102900005116790.00,Yellow Xincai (1),10.64
102900005116806.00,Black Rapeseed,0.1
102900005116837.00,Ping Mushroom,11.6
102900005116899.00,Net Lotus Root (1),5.54
102900005116905.00,Green Hangjiao (1),0
102900005116912.00,Jigu Mushroom (1),8.99
102900005116943.00,Red Hang Pepper,9.99
102900005117056.00,Paopaojiao (Jingpin),7.08
102900005117209.00,7 Colour Pepper (1),15.98
102900005117353.00,The White Mushroom (1),9.43
102900005118572.00,Local Shanghaiqing,11.99
102900005118817.00,Spinach,18.51
102900005118824.00,High Melon (1),29.25
102900005118831.00,Wawacai,2.48
102900005119098.00,The Agaricus Bisporus,12.78
102900005119104.00,The Crab Flavor Mushroom (1),9.24
102900005119944.00,Haixian Mushroom (1),9.89
102900005119968.00,Green Hangzhou Pepper (2),9
102900005119975.00,Hongshujian,8.42
102900005122654.00,Zhijiang Red Bolt,11.38
102900005123880.00,Bell Pepper (1),16.33
102900005125808.00,Millet Pepper,5.86
102900005125815.00,Apricot Bao Mushroom (1),5.05
102900005128748.00,Huanghuacai,16.89
102900011000175.00,Kuaicai,20.38
102900011000328.00,Luosi Pepper,10.18
102900011000335.00,Round Eggplant,0.32
102900011000571.00,Suizhou Bubble Green,12.2
102900011000632.00,Purple Cabbage (1),25.53
102900011000861.00,Red Line Pepper,7.71
102900011001219.00,The Red Bell Pepper (1),8.93
102900011001561.00,Lotus (Ea),12.17
102900011001691.00,Water Chestnut (Lingjiao),9.61
102900011001806.00,Jigu Mushroom (Bunch),12.42
102900011001813.00,Needle Mushroom (Bag) (1),8.85
102900011002414.00,Panax Notoginseng,16.95
102900011006689.00,Dongmenkou Xiaobaicai,27.84
102900011006948.00,Foreign Garland Chrysanthemum ,26.16
102900011006955.00,Ice Grass,15.01
102900011007044.00,Tremella (Flower),9.14
102900011007464.00,Perilla,12.88
102900011007471.00,Mint,13.28
102900011007495.00,The Dandelion,15.92
102900011007969.00,Red Lotus Root Zone,16.63
102900011008133.00,Siguajian,15.98
102900011008164.00,Naibaicai,15.68
102900011008485.00,Mustard,13.75
102900011008492.00,Big Broccoli,4.69
102900011008515.00,Miantiaocai,12.8
102900011008522.00,Sweet Chinese Cabbage,9.43
102900011008577.00,Hericium ,16.19
102900011008676.00,Jicai,11.56
102900011009246.00,Fresh Black Fungus (1),7.63
102900011009277.00,Water Chestnut,11.02
102900011009444.00,Dalong Eggplant,10.94
102900011009772.00,Fruit Pepper (Orange),9.43
102900011009970.00,Qinggengsanhua,17.06
102900011010563.00,Chicken Fir Bacteria,11.93
102900011010891.00,Wild Lotus Root (1),7.97
102900011011058.00,Black Porcini,10.17
102900011011546.00,Haixian Mushroom (Bag) (1),5.96
102900011011669.00,Xiuzhen Mushroom,11.93
102900011011782.00,Chinese Caterpillar Fungus Flowers (Box) (1),11.93
102900011012482.00,Tea Tree Mushroom (Bag),9.97
102900011012871.00,Black Chicken  Mushroom,11.03
102900011012994.00,Apricot Bao Mushroom (Bag),10.03
102900011013274.00,The White Mushroom (Bag),6.57
102900011015384.00,Malan Head,15.16
102900011015391.00,Ganlanye,11.58
102900011016701.00,Wuhu Green Pepper (1),5.7
102900011016909.00,Hua Eggplant,6.98
102900011018095.00,Chinese Caterpillar Fungus Flowers (Bag),11.13
102900011018132.00,Wild Pink Lotus Root,12.69
102900011021644.00,Hongshan Caitai,9.34
102900011021675.00,Chopped Red Pine,8.75
102900011021699.00,The Steak Mushrooms,8.11
102900011021842.00,Honghu Lotus Root Powder (Fenou),11.81
102900011022030.00,Pepper Mix,9.43
102900011022764.00,Changxianqie,6.9
102900011022849.00,The Local Yellow Youcai,6.73
102900011022924.00,Green Caitai,10.94
102900011023075.00,White Jelly Mushroom,11.13
102900011023464.00,Xiaoqingcai (1),10.33
102900011023648.00,Wuhu Green Pepper (2),8.78
102900011023976.00,Net Lotus Root (2),11.62
102900011024010.00,Fresh Lotus Root Zone (Bag),12.69
102900011026502.00,Fresh Rice Dumplings Leaves,10.94
102900011026618.00,Aihao,9.27
102900011026793.00,Apricot Bao Mushroom (250 G),9.43
102900011027462.00,Naibai Caimiao,10.94
102900011027479.00,Xiaozhoupi,8.71
102900011027615.00,Juhua Youcai,3.43
102900011028407.00,Yuganjiao,9.43
102900011029176.00,Lameizi,0
102900011029275.00,Purple Hot Peppers,9.43
102900011029299.00,Purple Screw Pepper,0
102900011029305.00,Fruit Chili,0.18
102900011029688.00,Shuanggou Cabbage,10.75
102900011030042.00,Zhijiang Red Bolt (Bag),9.43
102900011030059.00,Yunnan Lettuce (Bag),9.43
102900011030097.00,Yunnan Leaf Lettuce (Bag),9.43
102900011030103.00,Garden Chrysanthemum (Bag),9.43
102900011030110.00,Spinach (Bag),9.43
102900011030134.00,Caixin (Bag),9.43
102900011030141.00,Shanghai Green (Bag),9.43
102900011030158.00,Xiaoqingcai (2),9.43
102900011030400.00,Hongshan Shoutidai,0
102900011030417.00,Hongshan Gift Box,0
102900011030561.00,Chopped Red Pine (Box),0
102900011030608.00,The Steak Mushrooms (Box),19.8
102900011030615.00,The Pork Stomach Mushroom (Box),0
102900011030622.00,Black Porcini (Box),0
102900011030639.00,Black Chicken Fir Bacteria (Box),0
102900011030905.00,Yuxingcao (Bag),9.43
102900011030912.00,Haixian Mushroom (Bag),9.43
102900011030929.00,Fresh Edible Fungus (Bag),9.43
102900011031100.00,Millet Pepper (Bag),9.43
102900011031216.00,Ice Grass (Box),10.34
102900011031582.00,Green Hot Peppers (Bag),9.43
102900011031599.00,Apricot Bao Mushroom (Bag),9.43
102900011031735.00,7 Colour Pepper (Bag),9.43
102900011031742.00,Bell Pepper (Bag),9.43
102900011031759.00,Red Bell Pepper (Bag),9.43
